product_id,category,date,current_price,units_sold,stock_level,competitor_price,page_views,unit_cost,promotion_flag,base_price
10002,General Merchandise,2010-12-01,0.85,60,958,0.85,1605,0.5,1,1.66
10002,General Merchandise,2010-12-02,0.85,1,801,0.85,26,0.5,1,1.66
10002,General Merchandise,2010-12-03,1.39,8,812,1.38,214,0.81,1,1.66
10002,General Merchandise,2010-12-05,0.85,1,792,0.85,26,0.5,1,1.66
10002,General Merchandise,2010-12-06,1.25,25,830,1.25,668,0.73,1,1.66
10002,General Merchandise,2010-12-07,1.66,8,778,1.65,214,0.97,0,1.66
10002,General Merchandise,2010-12-08,1.25,13,778,1.25,347,0.73,1,1.66
10002,General Merchandise,2010-12-09,1.01,44,815,1.01,1177,0.59,1,1.66
10002,General Merchandise,2010-12-10,0.85,48,778,0.85,1284,0.5,1,1.66
10002,General Merchandise,2010-12-13,1.39,27,696,1.38,722,0.81,1,1.66
10002,General Merchandise,2010-12-14,0.85,7,636,0.85,187,0.5,1,1.66
10002,General Merchandise,2010-12-16,0.85,5,626,0.85,133,0.5,1,1.66
10002,General Merchandise,2010-12-17,1.66,2,616,1.65,53,0.97,0,1.66
10002,General Merchandise,2010-12-20,1.66,2,614,1.65,53,0.97,0,1.66
10002,General Merchandise,2011-01-05,0.85,12,628,0.85,321,0.5,1,1.66
10002,General Merchandise,2011-01-06,0.85,60,695,0.85,1605,0.5,1,1.66
10002,General Merchandise,2011-01-07,1.66,1,538,1.65,26,0.97,0,1.66
10002,General Merchandise,2011-01-11,0.85,24,575,0.85,642,0.5,1,1.66
10002,General Merchandise,2011-01-13,0.85,11,529,0.85,294,0.5,1,1.66
10002,General Merchandise,2011-01-16,0.85,7,512,0.85,187,0.5,1,1.66
10002,General Merchandise,2011-01-17,0.85,1,495,0.85,26,0.5,1,1.66
10002,General Merchandise,2011-01-18,0.85,24,532,0.85,642,0.5,1,1.66
10002,General Merchandise,2011-01-19,1.24,13,490,1.23,347,0.72,1,1.66
10002,General Merchandise,2011-01-20,0.85,36,514,0.85,963,0.5,1,1.66
10002,General Merchandise,2011-01-23,0.85,2,423,0.85,53,0.5,1,1.66
10002,General Merchandise,2011-01-24,1.63,1,419,1.62,26,0.95,0,1.66
10002,General Merchandise,2011-01-25,0.85,2,420,0.85,53,0.5,1,1.66
10002,General Merchandise,2011-01-30,0.85,14,437,0.85,374,0.5,1,1.66
10002,General Merchandise,2011-01-31,0.85,132,616,0.85,3531,0.5,1,1.66
10002,General Merchandise,2011-02-04,0.85,1,270,0.85,26,0.5,1,1.66
10002,General Merchandise,2011-02-13,0.85,1,269,0.85,26,0.5,1,1.66
10002,General Merchandise,2011-02-17,1.37,14,289,1.36,374,0.8,1,1.66
