product_id,date,current_price,suggested_price,new_price,predicted_units,predicted_profit,predicted_revenue,price_change_pct,candidate_count,feasible_candidate_count,selection_reason,guardrail_feasible,guardrail_reasons,run_timestamp
10080,2011-10-10 00:00:00,0.39,0.41,0.43,12.0656,2.4131,5.1882,10.2564,3,0,best_adjusted_candidate,False,min_price_floor|max_change_upper_bound,2026-08-11T13:26:57.484342+00:00
10080,2011-10-13 00:00:00,0.39,0.41,0.43,1.2036,0.2407,0.5175,10.2564,3,0,best_adjusted_candidate,False,min_price_floor|max_change_upper_bound,2026-08-11T13:26:57.484342+00:00
10080,2011-10-25 00:00:00,0.39,0.41,0.43,3.1355999999999997,0.6271,1.3483,10.2564,3,0,best_adjusted_candidate,False,min_price_floor|max_change_upper_bound,2026-08-11T13:26:57.484342+00:00
10080,2011-11-02 00:00:00,0.39,0.41,0.43,3.6576,0.7315,1.5728,10.2564,3,0,best_adjusted_candidate,False,min_price_floor|max_change_upper_bound,2026-08-11T13:26:57.484342+00:00
10080,2011-11-11 00:00:00,0.39,0.41,0.43,25.6576,5.1315,11.0328,10.2564,3,0,best_adjusted_candidate,False,min_price_floor|max_change_upper_bound,2026-08-11T13:26:57.484342+00:00
10080,2011-11-14 00:00:00,0.39,0.41,0.43,24.827599999999997,4.9655,10.6759,10.2564,3,0,best_adjusted_candidate,False,min_price_floor|max_change_upper_bound,2026-08-11T13:26:57.484342+00:00
10080,2011-11-18 00:00:00,0.39,0.41,0.43,12.2736,2.4547,5.2776,10.2564,3,0,best_adjusted_candidate,False,min_price_floor|max_change_upper_bound,2026-08-11T13:26:57.484342+00:00
10080,2011-11-21 00:00:00,0.39,0.41,0.43,5.8636,1.1727,2.5213,10.2564,3,0,best_adjusted_candidate,False,min_price_floor|max_change_upper_bound,2026-08-11T13:26:57.484342+00:00
10120,2011-10-03 00:00:00,0.21,0.22,0.23,1.2904,0.1419,0.2968,9.5238,3,0,best_adjusted_candidate,False,min_price_floor|max_change_upper_bound,2026-08-11T13:26:57.484342+00:00
10120,2011-10-23 00:00:00,0.21,0.22,0.23,5.2904,0.5819,1.2168,9.5238,3,0,best_adjusted_candidate,False,min_price_floor|max_change_upper_bound,2026-08-11T13:26:57.484342+00:00
10120,2011-11-02 00:00:00,0.21,0.22,0.23,5.0564,0.5562,1.163,9.5238,3,0,best_adjusted_candidate,False,min_price_floor|max_change_upper_bound,2026-08-11T13:26:57.484342+00:00
10120,2011-11-04 00:00:00,0.21,0.22,0.23,3.1644,0.3481,0.7278,9.5238,3,0,best_adjusted_candidate,False,min_price_floor|max_change_upper_bound,2026-08-11T13:26:57.484342+00:00
10120,2011-11-20 00:00:00,0.21,0.22,0.23,37.3484,4.1083,8.5901,9.5238,3,0,best_adjusted_candidate,False,min_price_floor|max_change_upper_bound,2026-08-11T13:26:57.484342+00:00
10120,2011-11-22 00:00:00,0.21,0.22,0.23,6.0564,0.6662,1.393,9.5238,3,0,best_adjusted_candidate,False,min_price_floor|max_change_upper_bound,2026-08-11T13:26:57.484342+00:00
